Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","ISL9V3040D3ST","TO-252-2",108.325000,-57.435000,90.000000,bottom
"Q2","ISL9V3040D3ST","TO-252-2",100.060000,-57.435000,90.000000,bottom
"Q3","ISL9V3040D3ST","TO-252-2",91.795000,-57.435000,90.000000,bottom
"Q4","ISL9V3040D3ST","TO-252-2",83.530000,-57.435000,90.000000,bottom
"Q5","ISL9V3040D3ST","TO-252-2",102.000000,-69.010000,90.000000,bottom
"Q6","ISL9V3040D3ST","TO-252-2",94.275000,-69.010000,90.000000,bottom
"Q7","ISL9V3040D3ST","TO-252-2",85.775000,-68.935000,90.000000,bottom
"Q8","ISL9V3040D3ST","TO-252-2",77.280000,-68.960000,90.000000,bottom
"C1","100n","C0603",126.000000,-126.540001,90.000000,top
"C2","22u","C_0603_1608Metric",88.500000,-109.975000,90.000000,top
"C3","22u","C_0603_1608Metric",106.500000,-111.250000,90.000000,top
"C5","100n","C_0402_1005Metric",108.237500,-114.770000,90.000000,top
"C7","100n","C_0402_1005Metric",157.000000,-125.250000,0.000000,top
"C8","100n","C_0402_1005Metric",124.737500,-121.632174,90.000000,top
"C9","100n","C_0402_1005Metric",147.750000,-123.250000,90.000000,top
"C10","100n","C_0402_1005Metric",83.750000,-124.770000,90.000000,top
"C11","100n","C_0402_1005Metric",83.750000,-118.770000,90.000000,top
"D1","B5819W","SOD-123",117.500000,-56.750000,90.000000,top
"D2","B5819W","SOD-123",117.500000,-62.000000,-90.000000,top
"D3","B5819W","SOD-123",123.250000,-56.750000,90.000000,top
"D4","B5819W","SOD-123",123.250000,-62.000000,-90.000000,top
"D7","PESD1CAN","SOT-23",158.000000,-123.000000,0.000000,top
"D8","B5819W","SOD-123",115.250000,-56.750000,90.000000,top
"D9","B5819W","SOD-123",115.250000,-62.000000,-90.000000,top
"F2","12H1500D","PAD-1206-PAD",123.500000,-49.250000,-90.000000,top
"F3","50mA","Fuse_0603_1608Metric",82.750000,-110.712500,-90.000000,top
"F4","50mA","Fuse_0603_1608Metric",80.500000,-110.712500,-90.000000,top
"F5","50mA","Fuse_0603_1608Metric",78.250000,-110.712500,-90.000000,top
"F6","50mA","Fuse_0603_1608Metric",76.250000,-110.712500,-90.000000,top
